gameid	context	NormedTypicality	UtteranceType	Color	ColorAndType	Type	ColorMentioned	ItemMentioned	Other	Item	TargetColor	Target	Dist1	Dist2	UttforBDA
7963-8	informative-cc	0.657	color_and_type	0	1	0	TRUE	TRUE	FALSE	banana	brown	brown_banana	blue_banana	brown_carrot	brown_banana
7963-8	informative	0.976	color	1	0	0	TRUE	FALSE	FALSE	carrot	orange	orange_carrot	blue_apple	purple_carrot	orange
7963-8	overinformative-cc	0.961	color_and_type	0	1	0	TRUE	TRUE	FALSE	apple	green	green_apple	orange_pear	green_tomato	green_apple
7963-8	overinformative-cc	0.953	type	0	0	1	FALSE	TRUE	FALSE	pear	green	green_pear	orange_carrot	green_apple	pear
7963-8	overinformative	0.962	type	0	0	1	FALSE	TRUE	FALSE	tomato	red	red_tomato	orange_carrot	yellow_pear	tomato
7963-8	informative-cc	0.841	color_and_type	0	1	0	TRUE	TRUE	FALSE	pepper	orange	orange_pepper	black_pepper	green_avocado	orange_pepper
7963-8	overinformative-cc	0.462	type	0	0	1	FALSE	TRUE	FALSE	apple	blue	blue_apple	orange_pepper	blue_banana	apple
7963-8	informative-cc	0.976	color_and_type	0	1	0	TRUE	TRUE	FALSE	carrot	orange	orange_carrot	orange_pepper	purple_carrot	orange_carrot
7963-8	informative-cc	0.934	color_and_type	0	1	0	TRUE	TRUE	FALSE	pepper	red	red_pepper	orange_pear	orange_pepper	red_pepper
7963-8	informative	0.412	color	1	0	0	TRUE	FALSE	FALSE	tomato	purple	purple_tomato	brown_banana	red_tomato	purple
7963-8	overinformative-cc	0.503	type	0	0	1	FALSE	TRUE	FALSE	carrot	purple	purple_carrot	blue_apple	purple_tomato	carrot
7963-8	overinformative	0.462	type	0	0	1	FALSE	TRUE	FALSE	apple	blue	blue_apple	yellow_banana	red_tomato	apple
7963-8	informative	0.966	color	1	0	0	TRUE	FALSE	FALSE	avocado	green	green_avocado	purple_carrot	black_avocado	green
7963-8	overinformative	0.686	color	1	0	0	TRUE	FALSE	FALSE	pear	orange	orange_pear	red_tomato	purple_carrot	orange
7963-8	informative	0.934	color	1	0	0	TRUE	FALSE	FALSE	pepper	red	red_pepper	orange_pepper	green_pear	red
7963-8	overinformative	0.637	color	1	0	0	TRUE	FALSE	FALSE	pepper	black	black_pepper	green_avocado	green_pear	black
7963-8	overinformative	0.979	color	1	0	0	TRUE	FALSE	FALSE	banana	yellow	yellow_banana	black_pepper	red_tomato	yellow
7963-8	informative-cc	0.812	OTHER	0	0	0	TRUE	TRUE	TRUE	avocado	black	black_avocado	red_avocado	black_pepper	other
7963-8	informative	0.953	color_and_type	0	1	0	TRUE	TRUE	FALSE	apple	red	red_apple	green_avocado	blue_apple	red_apple
7963-8	overinformative-cc	0.924	type	0	0	1	FALSE	TRUE	FALSE	pear	yellow	yellow_pear	red_tomato	yellow_banana	pear
7963-8	informative	0.962	color	1	0	0	TRUE	FALSE	FALSE	tomato	red	red_tomato	purple_tomato	orange_pepper	red
7963-8	overinformative-cc	0.841	type	0	0	1	FALSE	TRUE	FALSE	pepper	orange	orange_pepper	green_avocado	brown_banana	pepper
7963-8	informative	0.696	color	1	0	0	TRUE	FALSE	FALSE	avocado	red	red_avocado	black_avocado	blue_banana	red
7963-8	overinformative-cc	0.419	type	0	0	1	FALSE	TRUE	FALSE	banana	blue	blue_banana	blue_apple	black_avocado	banana
7963-8	overinformative	0.953	type	0	0	1	FALSE	TRUE	FALSE	apple	red	red_apple	purple_carrot	green_avocado	apple
7963-8	informative-cc	0.412	color_and_type	0	1	0	TRUE	TRUE	FALSE	tomato	purple	purple_tomato	red_tomato	green_pear	purple_tomato
7963-8	informative-cc	0.924	color_and_type	0	1	0	TRUE	TRUE	FALSE	pear	yellow	yellow_pear	orange_pear	yellow_banana	yellow_pear
7963-8	overinformative-cc	0.637	color_and_type	0	1	0	TRUE	TRUE	FALSE	pepper	black	black_pepper	blue_apple	black_avocado	black_pepper
7963-8	overinformative	0.966	color	1	0	0	TRUE	FALSE	FALSE	avocado	green	green_avocado	red_apple	blue_apple	green
7963-8	informative	0.812	color	1	0	0	TRUE	FALSE	FALSE	avocado	black	black_avocado	red_avocado	red_tomato	black
7963-8	overinformative	0.419	color	1	0	0	TRUE	FALSE	FALSE	banana	blue	blue_banana	red_pepper	red_apple	blue
5794-2	overinformative-cc	0.503	color_and_type	0	1	0	TRUE	TRUE	FALSE	carrot	purple	purple_carrot	blue_banana	purple_tomato	purple_carrot
